County,fips,spotted sucker,bowfin (dogfish),sauger,deepwater sculpin,sand shiner,black bullhead,lake whitefish,threespine stickleback,ninespine stickleback,channel catfish,silver redhorse,sunfish,least darter,smallmouth bass,river shiner,crappie,river redhorse,brown bullhead,logperch,bluegill,blacknose dace,alewife,central stoneroller,gizzard shad,freshwater drum,darters,shorthead redhorse,yellow bullhead,pugnose shiner,trout-perch,shiners,green sunfish,creek chub,crappie hybrid,hornyhead chub,northern sunfish,carpsucker,channel shiner,round whitefish,shortnose gar,bullhead minnow,bluntnose minnow,walleye,sea lamprey,longnose sucker,largemouth bass,mooneye,weed shiner,brook silverside,highfin carpsucker,black buffalo,bigmouth shiner,rock bass,finescale dace,rosyface shiner,minnow hybrid,longnose gar,rainbow darter,golden redhorse,river carpsucker,spotfin shiner,goldfish,suckers,brook trout,lake trout,lake sturgeon,river ruffe,northern pearl dace,lamprey,quillback,orangespotted sunfish,spoonhead sculpin,white perch,shovelnose sturgeon,iowa darter,tadpole madtom,pygmy whitefish,longnose dace,sculpin,tullibee (cisco),slimy sculpin,white crappie,chestnut lamprey,common carp,greater redhorse,brown trout,northern redbelly dace,pumpkinseed,freshwater tubenose goby,northern pike,minnows,common shiner,goldeye,river darter,carmine shiner,flathead catfish,smallmouth buffalo,banded killifish,emerald shiner,blacknose shiner,white sucker,muskellunge,splake,bloater,rainbow trout,hybrid sunfish,mottled sculpin,round goby,yellow perch,silver lamprey,blackside darter,walleye/sauger,northern hog sucker,bullheads,warmouth,northern pike-silverphase,golden shiner,central mudminnow,black crappie,bigmouth buffalo,burbot,mirror carp,lake chub,brassy minnow,johnny darter,stonecat,rainbow smelt,shortjaw cisco,blackchin shiner,brook stickleback,white bass,tiger muskellunge,cisco species,slenderhead darter,redhorse,mimic shiner,american eel,fathead minnow,buffalo,spottail shiner
McLeod,085,0,131,0,0,0,10470,0,0,0,661,0,709,0,1,0,0,0,45,0,10809,0,0,0,0,0,0,6,250,0,0,0,200,0,0,0,0,0,0,0,0,0,0,2790,0,0,4746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,2,7,0,0,0,0,0,247,0,2736,0,0,0,127,0,1103,0,0,0,0,0,0,0,0,0,0,484,0,0,0,0,220,0,0,2585,0,0,0,0,0,0,0,250,1,10667,47,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,140,0,21
Carver,019,0,228,0,0,5,9157,0,0,0,3,0,0,32,3,0,0,0,116,4,35023,0,0,0,155,984,0,4,1447,20,0,0,1203,0,0,0,0,0,0,0,12,0,399,1312,0,0,1795,0,0,20,0,0,0,1,0,0,0,0,0,0,6,58,0,0,0,0,0,0,0,0,0,109,0,0,0,15,5,0,0,0,0,0,343,0,1060,0,0,0,1298,0,3196,28,0,0,0,0,0,11,15,98,2,90,13,0,0,0,510,0,0,3074,0,0,0,0,0,0,0,404,25,10260,30,0,0,0,0,28,0,0,0,12,0,2,22,0,0,0,0,0,1515,0,10
Fillmore,045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Renville,129,0,0,0,0,0,3163,0,0,0,182,0,323,0,0,0,350,0,2,0,1938,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,742,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,3241,0,0,0,1,0,129,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,48,0,0,621,0,0,0,0,0,0,0,17,0,1640,0,0,0,0,0,456,0,0,0,0,0,0,0,0,0,0,0,0,3637,0,0
Pope,121,0,305,0,0,1,13626,0,0,0,65,0,1272,16,60,0,0,0,726,0,12896,0,0,0,0,151,0,55,4177,14,0,55,1050,1,0,2,0,0,0,0,0,0,208,3697,0,0,3594,0,0,1,0,0,0,393,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,506,7,0,0,0,14,0,273,0,8220,0,0,0,2790,0,3261,1,5,0,0,0,0,0,519,498,33,2095,0,0,0,0,471,0,0,12735,0,3,0,0,0,0,0,142,72,1767,35,0,0,0,0,100,0,0,0,71,303,4,0,0,1,0,0,0,6165,0,310
Crow Wing,035,0,2448,0,0,258,882,419,0,0,3,79,970,247,674,0,0,0,3921,780,80683,0,0,0,0,0,0,387,16920,22,0,242,626,2,0,22,189,0,0,0,0,0,7886,14714,0,0,18247,0,0,17262,0,0,499,6597,0,0,0,0,0,0,0,22,0,0,558,65,1,0,0,0,0,0,0,0,0,546,30,0,12,0,4028,0,0,0,15,140,6,1,9116,0,19400,65,577,0,0,0,0,0,1940,151,2072,2117,0,0,0,91,5753,12,0,19574,0,0,0,0,0,0,0,2380,153,8410,0,11,0,0,2,953,0,0,0,588,6,0,0,0,0,0,422,0,3962,0,4453
Marshall,089,0,0,0,0,0,3204,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,6,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,49,20,688,0,0,0,0,0,0,0,0,609,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,97,0,0,0,0,0,95,0,0,0,0,1,0,0,0,0,0,0,0,1581,0,0
Stevens,149,0,4,0,0,0,6025,0,0,0,0,0,986,0,0,0,0,0,9,0,324,0,0,0,0,1,0,88,88,0,1,0,0,0,0,0,0,0,0,0,0,0,6,796,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,0,0,39,62,0,0,0,0,0,100,0,681,0,0,0,1,0,237,0,0,0,0,0,0,22,0,0,0,198,0,0,0,0,68,0,0,3295,0,0,0,0,0,0,0,0,0,1415,545,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,850,0,0
Washington,163,5,46,0,0,0,4410,0,0,0,11,0,0,7,18,0,0,0,139,8,37367,0,0,0,18,1,0,0,1476,0,0,0,423,0,0,0,0,0,0,0,0,0,2084,860,0,0,2248,0,0,239,0,0,0,178,0,0,0,0,0,5,0,41,6,0,0,15,1,0,0,0,0,0,0,0,0,44,5,0,0,0,579,0,22,0,93,0,18,0,2534,0,3338,0,9,0,1,0,0,0,311,0,419,135,127,0,0,39,2796,0,0,3408,0,0,0,0,0,0,0,276,4,4137,1,0,0,0,0,28,0,0,0,6,0,2,31,0,0,0,0,0,2,0,5
Murray,101,0,0,0,0,0,23216,0,0,0,425,0,16,0,0,0,195,0,315,0,2485,0,0,0,0,0,0,0,177,0,0,0,205,8,0,0,0,0,0,0,0,0,30,2987,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,5,83,0,0,0,0,0,0,0,0,154,3994,0,0,0,0,2,0,0,0,0,0,1096,0,1712,0,0,0,2,0,251,0,25,0,0,0,0,0,0,0,0,362,0,0,0,0,25,0,0,3925,0,0,0,0,0,0,0,0,0,9658,1388,0,0,0,0,422,0,0,0,0,0,0,0,0,0,0,5,0,6102,0,0
